Municipio;Fecha de patrullaje;Hora de Inicio del patrullaje;Hora de finalización de patrullaje;Región;Ubicación;Área protegida;Tipo de patrullaje;¿Existe otra institución involucrada en el patrullaje?;¿Cuál o cuáles son?;Otra (especifique);¿Observó Actividad ilegal?;CreationDate;EditDate;x;y
San Andres Semetabaj;10/8/2025 18:00;08:00;16:30;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;10/09/2025 22:10:38.327;10/09/2025 22:10:38.327;-91.13168204;14.74106692
Acatenango;10/9/2025 18:00;08:00;04:30;Altiplano Central;fuera;Cerro el cipreson los planes acatenango;ac_192;no;;;no;10/09/2025 23:03:02.319;10/09/2025 23:03:02.319;-90.90627667;14.56772833
Santa Clara La Laguna;10/09/2025 15:49:04.625;;;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_190;no;;;no;10/09/2025 23:05:56.166;10/09/2025 23:05:56.166;-91.30993263;14.76246859
Tecpan;10/9/2025 18:00;08:00;16:26;Altiplano Central;fuera;Parque regional astillero municipal Tecpan;ac_192;no;;;no;10/09/2025 23:27:10.278;10/09/2025 23:27:10.278;-90.97445535;14.76199006
Tecpan;10/9/2025 18:00;08:26;16:15;Altiplano Central;fuera;Parque Arqueologico IXIMCHE.;ac_192;no;;;no;10/09/2025 23:28:41.910;10/09/2025 23:28:41.910;-90.99786333;14.737085
San Andres Semetabaj;10/9/2025 18:00;08:00;16:30;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;10/10/2025 01:46:47.515;10/10/2025 01:46:47.515;-91.12931873;14.7384489
Santiago Atitlán;10/10/2025 03:53:07.268;08:00;16:30;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;10/10/2025 04:04:46.542;10/10/2025 04:04:46.542;-91.27615624;14.62594771
Santiago Atitlán;10/9/2025 18:00;08:00;04:30;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;10/10/2025 14:15:37.172;10/10/2025 14:15:37.172;-91.2341396;14.6244876
Santiago Atitlán;10/10/2025 18:00;08:00;04:30;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;10/10/2025 22:14:34.559;10/10/2025 22:14:34.559;-91.23106897;14.62330189
Tecpan;10/10/2025 18:00;20:22;16:35;Altiplano Central;fuera;Parque Regional Municipal. Astillero de Tecpan.;ac_192;no;;;no;10/10/2025 22:50:14.174;10/10/2025 22:50:14.174;-90.99647333;14.76084833
Santiago Atitlán;10/10/2025 18:00;08:00;16:30;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;10/10/2025 23:10:08.182;10/10/2025 23:10:08.182;-91.23120887;14.62605475
Acatenango;10/7/2025 18:00;08:06;16:54;Altiplano Central;fuera;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_191;no;;;no;10/10/2025 23:22:44.141;10/10/2025 23:22:44.141;-90.92035057;14.57957592
Acatenango;10/9/2025 18:00;08:22;17:22;Altiplano Central;fuera;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_190;no;;;no;10/10/2025 23:22:46.253;10/10/2025 23:22:46.253;-90.90728008;14.56816496
Acatenango;10/10/2025 19:09:34.178;08:09;17:09;Altiplano Central;fuera;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_190;no;;;no;10/10/2025 23:22:48.503;10/10/2025 23:22:48.503;-90.91911013;14.58115155
Santa Clara La Laguna;10/10/2025 18:00;08:42;14:43;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;10/10/2025 23:46:03.980;10/10/2025 23:46:03.980;-91.30707257;14.7058637
Santa Clara La Laguna;10/10/2025 18:00;08:01;16:29;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_190;no;;;no;10/13/2025 14:35:07.635;10/13/2025 14:35:07.635;-91.31163851;14.73407484
Tecpan;10/10/2025 18:00;09:00;17:00;Altiplano Central;fuera;Reserva de usos múltiples de la Cuenca del Lago de 8Atitlán;ac_192;no;;;no;10/13/2025 16:34:18.436;10/13/2025 16:34:18.436;-91.01185932;14.76463601
Tecpan;10/13/2025 18:00;09:00;;Altiplano Central;fuera;Parque arqueologico Iximche;ac_192;no;;;no;10/13/2025 16:34:19.718;10/13/2025 16:34:19.718;-90.97436008;14.76199467
Santa Clara La Laguna;10/13/2025 14:59:18.711;08:00;16:30;Altiplano Central;;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_190;no;;;no;10/13/2025 22:40:46.903;10/13/2025 22:40:46.903;-91.31192352;14.73410404
Tecpan;10/13/2025 18:00;09:00;16:42;Altiplano Central;fuera;Parque arqueologico Iximche;ac_192;no;;;no;10/13/2025 23:42:36.286;10/13/2025 23:42:36.286;-90.97436153;14.76195844
